RowNumber,CustomerId,Tenure,CreditScore,Balance,EstimatedSalary
1,15634602,2,619,,101348.88
2,15647311,1,608,83807.86,112542.58
3,15619304,8,502,159660.8,113931.57
4,15701354,1,699,,93826.63
5,15737888,2,850,125510.82,79084.1
6,15574012,8,645,113755.78,149756.71
7,15592531,7,822,,10062.8
8,15656148,30,376,115046.74,119346.88
9,15792365,4,865,142051.07,74940.5
10,15592389,2,684,134603.88,71725.73
11,15767821,6,528,102016.72,80181.12
12,15737173,3,497,,76390.01
13,15632264,10,476,,26260.98
14,15691483,5,549,,190857.79
15,15600882,7,635,,65951.65
16,15643966,3,616,143129.41,64327.26
17,15737452,1,653,132602.88,5097.67
18,15788218,9,549,,14406.41
19,15661507,6,587,,158684.81
20,15568982,6,726,,54724.03
21,15577657,8,732,,170886.17
22,15597945,8,636,,138555.46
23,15699309,4,510,,118913.53
24,15725737,3,669,,8487.75
25,15625047,5,846,,187616.16
26,15738191,3,577,,124508.29
27,15736816,2,756,136815.64,170041.95
28,15700772,9,571,,38433.35
29,15728693,3,574,141349.43,100187.43
30,15656300,0,411,59697.17,53483.21
31,15589475,3,591,,140469.38
32,15706552,7,533,85311.7,156731.91
33,15750181,9,553,110112.54,81898.81
34,15659428,6,520,,34410.55
35,15732963,9,722,,142033.07
36,15794171,0,475,134264.04,27822.99
37,15788448,3,490,145260.23,114066.77
38,15729599,7,804,76548.6,98453.45
39,15717426,7,850,,40812.9
40,15585768,6,582,70349.48,178074.04
41,15619360,4,472,,70154.22
42,15738148,8,465,122522.32,181297.65
43,15687946,2,556,117419.35,94153.83
44,15755196,2,834,131394.56,194365.76
45,15684171,5,660,155931.11,158338.39
46,15754849,4,776,109421.13,126517.46
47,15602280,9,829,112045.67,119708.21
48,15771573,9,637,137843.8,117622.8
49,15766205,2,550,103391.38,90878.13
50,15771873,2,776,103769.22,194099.12
51,15616550,10,698,116363.37,198059.16
52,15768193,5,585,146050.97,86424.57
53,15683553,5,788,,116978.19
54,15702298,8,655,125561.97,164040.94
55,15569590,1,601,98495.72,40014.76
56,15760861,1,619,125211.92,113410.49
57,15630053,5,656,127864.4,87107.57
58,15647091,0,725,75888.2,45613.75
59,15623944,4,511,,1643.11
60,15804771,4,614,40685.92,46775.28
61,15651280,5,742,136857,84509.57
62,15773469,9,687,152328.88,126494.82
63,15702014,1,555,56084.69,178798.13
64,15751208,8,684,78707.16,99398.36
65,15592461,4,603,109166.37,92840.67
66,15789484,6,751,169831.46,27758.36
67,15696061,1,581,101633.04,110431.51
68,15641582,10,735,123180.01,196673.28
69,15638424,5,661,150725.53,113656.85
70,15755648,8,675,98373.26,18203
71,15703793,2,738,133745.44,28373.86
72,15620344,6,813,,33953.87
73,15812518,0,657,163607.18,44203.55
74,15779052,5,604,157780.84,58426.81
75,15770811,9,519,,145562.4
76,15780961,1,735,178718.19,22388
77,15614049,8,664,,139161.64
78,15662085,9,678,,148210.64
79,15575185,5,757,77253.22,194239.63
80,15803136,10,416,122189.66,98301.61
81,15706021,1,665,96645.54,171413.66
82,15663706,2,777,,136458.19
83,15641732,3,543,,26019.59
84,15701164,4,506,90307.62,159235.29
85,15738751,4,493,,1907.66
86,15805254,10,652,,114675.75
87,15762418,3,750,121681.82,128643.35
88,15625759,9,729,,151869.35
89,15622897,4,646,,93251.42
90,15767954,3,635,81623.67,156791.36
91,15757535,5,305,,174205.22
92,15731511,7,808,118626.55,147132.46
93,15809248,10,524,,109614.57
94,15640635,8,769,,172290.61
95,15676966,4,730,,85982.47
96,15699461,10,515,176273.95,121277.78
97,15738721,9,773,102827.44,64595.25
98,15693683,8,814,97086.4,197276.13
99,15604348,8,710,,99645.04
100,15633059,9,413,,6534.18
101,15808582,6,665,,161848.03
102,15743192,6,623,,167162.43
103,15580146,9,738,82674.15,41970.72
104,15776605,7,528,,60536.56
105,15804919,1,670,,177655.68
106,15613854,4,622,107073.27,30984.59
107,15599195,1,582,88938.62,10054.53
108,15812878,2,785,99806.85,36976.52
109,15602312,5,605,150092.8,71862.79
110,15744689,9,479,92833.89,99449.86
111,15803526,3,685,90536.81,63082.88
112,15665790,7,538,108055.1,27231.26
113,15715951,2,562,100238.35,86797.41
114,15591100,9,675,106190.55,22994.32
115,15609618,9,721,154475.54,101300.94
116,15675522,9,628,132351.29,74169.13
117,15705512,6,668,167864.4,115638.29
118,15698028,1,506,,31766.3
119,15661670,8,524,107818.63,199725.39
120,15600781,4,699,185173.81,120834.48
121,15682472,8,828,129433.34,38131.77
122,15580203,6,674,120193.42,100130.95
123,15690673,6,656,,141069.88
124,15760085,10,684,126384.42,198129.36
125,15779659,3,625,,183646.41
126,15627360,9,432,152603.45,110265.24
127,15671137,1,549,,8636.05
128,15782688,0,625,148507.24,46824.08
129,15575492,7,828,,171378.77
130,15591607,9,770,101827.07,167256.35
131,15740404,3,758,,124226.16
132,15718369,9,795,130862.43,114935.21
133,15677871,9,687,122570.87,35608.88
134,15642004,1,686,,16459.37
135,15712543,7,789,124828.46,124411.08
136,15584518,5,589,144895.05,34941.23
137,15802381,5,461,63663.93,167784.28
138,15610156,2,637,133463.1,93165.34
139,15594408,2,584,213146.2,75161.25
140,15640905,1,579,129490.36,8590.83
141,15698932,10,756,137452.09,189543.9
142,15724944,7,663,,180427.24
143,15628145,5,682,125851.93,193318.33
144,15713483,2,793,,159123.82
145,15612350,5,691,40915.55,126213.84
146,15800703,5,485,113157.22,54141.5
147,15705707,8,635,138296.94,141075.51
148,15754105,5,650,106967.18,24495.03
149,15703264,9,735,120681.63,74836.34
150,15794413,0,416,,878.87
151,15650237,7,754,,89520.75
152,15759618,9,535,,149892.79
153,15811589,8,716,,180800.42
154,15689044,2,539,127609.59,98646.22
155,15709368,6,614,,109041.53
156,15679145,7,706,,17941.16
157,15655007,7,758,,82996.47
158,15623595,2,586,,92067.35
159,15589975,6,646,97259.25,104719.66
160,15804017,4,631,123246.7,112687.57
161,15692132,6,717,101060.25,84699.56
162,15641122,2,684,,83473.82
163,15630910,7,800,108007.36,47125.11
164,15680772,2,721,,106977.8
165,15658929,0,683,133702.89,55582.54
166,15585388,9,660,125189.75,139874.43
167,15724623,7,704,113034.22,162503.48
168,15588537,9,615,109013.23,196499.96
169,15574692,2,667,,40721.24
170,15611325,9,682,57929.81,53134.3
171,15587562,4,484,130114.39,164017.89
172,15613172,5,628,95826.49,155996.96
173,15651022,10,480,129608.57,5472.7
174,15586310,4,578,169462.09,112187.11
175,15625524,5,512,,146457.83
176,15755209,7,484,133868.21,27286.1
177,15645248,0,510,,130553.47
178,15790355,5,606,190479.48,179351.89
179,15762615,8,597,101993.12,94774.12
180,15625426,3,754,161608.81,8080.85
181,15716334,2,850,122311.21,19482.5
182,15789669,2,510,,48071.61
183,15621075,1,778,162150.42,174531.27
184,15810845,2,636,,55470.78
185,15719377,4,804,,8546.87
186,15654506,8,514,,95857.18
187,15771977,1,730,99010.67,194945.8
188,15708710,0,525,,131521.72
189,15726676,5,616,,196108.51
190,15587421,7,687,111388.18,148564.76
191,15726931,8,715,56214.85,92982.61
192,15771086,3,512,84327.77,17675.36
193,15756850,1,479,,114996.43
194,15702741,8,601,93012.89,86957.42
195,15679200,9,580,61710.44,128077.8
196,15594815,3,807,174790.15,600.36
197,15635905,6,616,,43001.46
198,15777892,3,721,107720.64,158591.12
199,15656176,10,501,,47847.19
200,15811127,6,521,96423.84,10488.44
201,15604482,2,850,141040.01,5978.2
202,15622911,4,759,105420.18,121409.06
203,15600974,5,516,,146145.93
204,15727868,2,711,129022.06,14374.86
205,15627801,3,512,176666.62,94670.77
206,15773039,3,550,,179670.31
207,15755262,3,608,89763.84,199304.74
208,15679531,5,618,134954.53,151954.39
209,15684181,5,643,,142513.5
210,15612087,2,671,106376.85,158264.62
211,15752047,2,689,161814.64,169381.9
212,15624592,8,603,,169915.02
213,15573152,9,620,,88852.47
214,15594917,1,676,63095.01,40645.81
215,15785542,4,572,118287.01,60427.3
216,15723488,7,668,106854.21,157959.02
217,15680920,7,695,49512.55,133007.34
218,15786308,9,730,,176576.62
219,15659366,1,807,105799.32,34888.04
220,15774854,8,592,,28737.71
221,15725311,9,726,114722.05,98178.57
222,15787155,7,514,,125010.24
223,15727829,2,567,,167984.61
224,15733247,10,850,,4861.72
225,15568748,6,671,99564.22,108872.45
226,15699029,4,670,170557.91,198252.88
227,15774393,9,694,,26960.31
228,15676895,6,547,74596.15,85746.52
229,15637753,2,751,96888.39,77206.25
230,15605461,3,594,130830.22,61048.53
231,15808473,1,673,,111981.19
232,15627000,0,610,,62232.6
233,15787174,1,512,,156105.03
234,15723886,3,767,119714.25,150135.38
235,15704769,5,585,113978.97,93146.11
236,15772896,6,763,100160.75,33462.94
237,15711540,2,712,,144375
238,15764866,3,539,116220.5,55803.96
239,15794056,2,668,,89048.46
240,15795149,2,703,81173.83,162812.16
241,15812009,4,662,,136259.65
242,15651001,5,725,116803.8,124052.97
243,15813844,8,703,105961.68,74158.8
244,15596175,6,659,117411.6,45071.09
245,15576269,7,523,,62030.06
246,15797219,10,635,123497.58,131953.23
247,15685500,7,772,152400.51,79414
248,15599792,1,545,,199638.56
249,15657566,8,634,103097.85,157577.29
250,15772423,8,739,126418.14,134420.75
251,15628112,5,771,77846.9,99805.99
252,15753754,1,587,,97932.68
253,15793726,0,681,,170968.99
254,15694717,2,544,79731.91,57558.95
255,15665834,8,696,,176713.47
256,15765297,0,766,,34283.23
257,15636684,10,727,,198637.34
258,15592979,6,671,37266.67,156917.12
259,15750803,6,693,127992.25,50457.2
260,15607178,3,850,54901.01,140075.55
261,15713853,9,732,108748.08,65323.11
262,15673481,6,726,99906.19,64323.24
263,15686776,6,557,184686.41,14956.44
264,15673693,0,682,110654.02,111879.21
265,15700696,9,738,79019.8,18606.23
266,15813163,9,531,99240.51,123137.01
267,15653857,2,498,,148528.24
268,15777076,7,651,,13898.31
269,15717398,7,549,,81259.25
