RowNumber,CustomerId,NumOfProducts,HasChckng,IsActiveMember
1288,15565701,1,0,0
4199,15565706,1,1,1
7091,15565714,2,0,1
2021,15565779,1,1,0
3698,15565796,1,1,0
3417,15565806,2,0,0
6882,15565878,2,1,1
9515,15565879,2,1,1
5796,15565891,2,1,0
7187,15565996,2,1,1
6476,15566030,1,0,0
913,15566091,1,1,0
425,15566111,1,1,0
9632,15566139,1,1,0
982,15566156,2,0,0
1463,15566211,1,1,0
1141,15566251,1,1,0
5425,15566253,1,0,0
5345,15566269,2,1,0
704,15566292,2,0,1
4151,15566295,2,1,0
6355,15566312,3,1,1
9514,15566378,1,0,1
7787,15566380,2,1,1
4444,15566467,2,1,1
2045,15566494,2,1,0
7228,15566495,1,1,0
9678,15566531,1,0,1
9962,15566543,2,1,0
7738,15566563,1,1,0
411,15566594,2,0,0
3905,15566633,2,1,1
4231,15566660,3,1,0
3193,15566689,2,1,1
2758,15566708,2,1,0
8429,15566735,2,1,1
5542,15566740,1,0,1
8182,15566790,2,0,1
1906,15566843,1,1,1
6904,15566891,1,1,0
6426,15566894,1,0,0
1887,15566958,1,1,1
5932,15566988,1,1,0
5550,15567013,2,1,0
4401,15567063,1,0,1
4640,15567078,1,1,1
3320,15567114,1,0,0
8378,15567147,2,1,1
5350,15567246,2,1,1
4043,15567328,1,0,1
2584,15567333,2,1,0
4235,15567335,2,1,1
9113,15567339,1,1,1
800,15567367,1,0,1
8758,15567383,2,0,1
2000,15567399,1,1,1
1724,15567422,2,1,0
6167,15567431,1,0,1
8728,15567437,1,1,1
5509,15567442,2,1,1
598,15567446,1,1,1
2557,15567486,2,1,1
8487,15567506,2,1,1
4205,15567557,1,1,1
5272,15567630,1,1,0
8545,15567725,2,1,1
8524,15567778,1,1,1
4805,15567802,2,1,0
535,15567832,1,1,0
7346,15567834,1,1,1
7192,15567839,1,0,1
8929,15567855,2,0,0
7283,15567860,2,1,0
6645,15567893,2,1,0
8444,15567897,1,1,1
7573,15567919,2,0,1
9201,15567923,1,0,0
2450,15567980,1,0,1
5882,15567991,2,0,1
1711,15567993,1,1,0
4512,15568006,4,1,0
2447,15568025,1,1,1
8174,15568032,3,1,0
3354,15568044,2,1,1
4683,15568046,1,1,0
6814,15568088,1,1,0
5677,15568104,2,0,1
1554,15568106,2,0,1
3495,15568120,1,1,1
7066,15568162,1,1,1
8465,15568164,2,1,1
5098,15568238,2,1,1
383,15568240,2,0,1
9181,15568326,2,1,0
3883,15568328,2,1,1
1526,15568360,1,1,1
4435,15568429,2,1,0
6754,15568449,1,1,1
7304,15568469,2,1,0
5493,15568487,1,1,1
511,15568506,2,1,1
8338,15568519,2,1,0
6289,15568562,1,1,0
3732,15568573,1,0,1
659,15568595,1,1,1
6368,15568742,1,1,0
225,15568748,1,1,1
7591,15568819,3,1,1
6025,15568834,2,0,0
9159,15568849,1,1,1
9915,15568876,2,1,0
7352,15568878,2,1,0
5741,15568885,1,1,0
7808,15568904,1,1,1
3845,15568915,1,1,0
3771,15568953,1,1,1
1749,15568963,1,1,0
20,15568982,2,1,1
1009,15569050,1,1,0
4034,15569079,1,1,0
4152,15569098,1,0,0
4983,15569120,2,1,1
1679,15569178,1,1,0
1949,15569187,2,0,0
1841,15569209,1,1,1
2311,15569222,1,1,1
1140,15569247,1,0,1
3521,15569248,2,1,0
6965,15569249,3,0,1
5324,15569264,1,1,1
9994,15569266,1,1,0
4885,15569274,1,1,0
4450,15569364,2,1,0
7653,15569394,2,1,0
1751,15569410,2,1,1
1650,15569423,2,1,0
8295,15569430,2,1,0
6775,15569432,2,1,1
4181,15569438,2,0,0
4246,15569446,2,1,0
1204,15569451,1,1,1
9187,15569452,2,0,1
2065,15569503,2,1,1
9765,15569526,2,0,0
2540,15569571,2,1,0
3643,15569572,2,1,1
55,15569590,1,1,0
7596,15569595,1,1,0
9052,15569624,2,1,0
8246,15569626,1,1,1
3157,15569641,1,1,0
6201,15569654,1,0,0
5848,15569666,1,0,0
4931,15569670,1,1,1
2162,15569678,1,1,0
7465,15569682,1,1,0
5901,15569759,3,1,0
5654,15569764,1,1,0
646,15569807,1,1,0
7871,15569867,2,1,0
5517,15569878,1,1,1
9997,15569892,1,1,1
7555,15569917,2,0,0
5847,15569945,2,1,0
8578,15569976,1,1,1
8924,15570002,4,0,0
2392,15570004,2,1,0
4394,15570051,2,0,0
977,15570060,1,1,0
9546,15570073,1,1,1
7723,15570086,1,0,1
4530,15570087,1,1,1
799,15570134,2,1,1
8205,15570141,1,1,0
9700,15570145,2,1,0
8993,15570192,1,0,0
8827,15570194,2,0,0
1687,15570205,2,1,1
9017,15570271,1,1,1
8727,15570289,1,1,0
7792,15570299,1,1,0
1181,15570326,2,1,1
3429,15570360,2,0,0
5839,15570379,1,0,0
6356,15570414,1,0,0
1044,15570417,2,1,0
8818,15570485,1,0,0
7327,15570508,1,1,0
9601,15570533,1,0,1
1856,15570601,1,1,1
3383,15570629,2,1,1
9210,15570681,1,1,0
2909,15570769,1,1,1
2273,15570835,1,1,1
8262,15570855,2,1,1
8560,15570857,2,1,1
1992,15570859,2,1,1
6251,15570895,1,1,0
8741,15570908,1,0,1
6785,15570912,2,1,1
7910,15570931,1,0,0
3070,15570932,2,1,1
2882,15570943,1,1,1
7358,15570947,2,1,1
6933,15570970,2,1,1
7208,15570990,2,0,0
956,15571002,1,0,0
3086,15571059,1,1,0
9393,15571065,2,1,0
7261,15571081,1,1,1
7005,15571121,1,0,1
6104,15571144,2,0,1
2489,15571148,2,0,0
5963,15571193,1,1,1
785,15571221,1,1,1
4907,15571244,2,0,1
4421,15571261,2,1,1
9506,15571281,1,1,1
7278,15571284,2,1,1
3379,15571302,1,1,1
2064,15571305,1,1,0
7085,15571415,1,1,0
5744,15571476,1,0,0
9477,15571529,1,1,0
1639,15571550,1,1,0
7607,15571571,3,1,1
9452,15571586,1,1,0
4602,15571666,1,0,0
3636,15571689,2,1,1
1380,15571752,1,1,1
9789,15571756,1,1,0
1460,15571778,1,1,0
560,15571816,1,1,1
8142,15571843,1,1,0
6520,15571869,1,0,0
8026,15571873,1,1,1
9294,15571917,2,1,0
882,15571928,3,1,0
7743,15571940,1,1,1
3589,15571958,1,1,0
724,15571973,1,1,0
6242,15571995,2,1,1
9741,15572021,2,1,0
8141,15572022,1,0,1
5713,15572038,1,1,0
8164,15572050,1,1,1
5119,15572051,1,1,1
9330,15572073,2,1,1
1685,15572093,1,1,0
9755,15572114,1,1,1
4214,15572145,2,1,0
4969,15572158,1,0,0
8244,15572174,2,0,1
9878,15572182,3,1,0
851,15572265,2,1,0
3349,15572291,1,0,0
8947,15572294,1,0,0
8788,15572356,1,0,1
1299,15572360,1,0,0
7641,15572361,1,1,0
9706,15572374,2,0,1
7112,15572390,2,1,0
5556,15572398,2,1,1
6190,15572408,2,1,0
8207,15572415,2,1,1
8969,15572428,1,1,1
2445,15572461,2,0,0
1831,15572467,2,1,1
4400,15572547,1,1,0
3683,15572626,2,1,1
8286,15572631,1,0,1
5073,15572657,1,0,1
7919,15572706,1,1,0
5052,15572728,1,1,0
6546,15572735,2,1,1
4660,15572762,2,1,0
9539,15572767,2,1,0
8149,15572777,1,1,1
3755,15572792,1,1,1
5674,15572801,2,0,0
5316,15572956,1,1,1
8038,15573045,2,1,1
7382,15573077,1,1,1
1008,15573086,1,1,1
287,15573112,1,1,0
213,15573152,2,0,0
5656,15573171,1,1,1
2587,15573242,1,1,1
4976,15573278,2,1,0
2762,15573280,2,1,1
5768,15573284,2,0,0
2074,15573309,2,1,1
528,15573318,2,1,0
3629,15573319,1,0,0
6479,15573348,1,1,1
2931,15573452,1,1,0
393,15573456,2,1,0
7183,15573520,2,0,1
3601,15573599,2,0,1
5824,15573628,1,1,0
8655,15573730,2,1,0
1853,15573741,1,1,1
1195,15573769,2,1,0
7473,15573798,2,1,0
5391,15573851,3,0,0
9280,15573854,2,0,1
2199,15573876,2,1,0
4871,15573888,1,0,0
1827,15573893,2,1,1
3257,15573926,2,0,0
4878,15573971,2,0,0
1376,15574004,2,1,1
6,15574012,2,1,0
1439,15574068,1,0,0
4855,15574071,2,0,1
3306,15574072,1,1,1
8619,15574115,2,1,1
7710,15574119,1,1,1
3332,15574122,1,0,0
4853,15574137,2,1,1
9433,15574142,2,1,1
2148,15574167,1,1,1
9095,15574169,1,1,0
4540,15574206,2,1,1
4216,15574213,1,1,1
6573,15574237,2,1,1
6488,15574283,2,0,1
3578,15574296,2,1,0
3022,15574305,1,1,1
2627,15574324,2,0,1
1329,15574331,1,0,1
4707,15574352,1,1,1
6434,15574369,1,1,1
3265,15574372,2,1,0
9919,15574480,1,0,0
9829,15574523,2,1,1
8794,15574554,2,1,1
6063,15574558,2,1,1
9886,15574584,1,1,1
9295,15574608,1,1,1
169,15574692,2,1,0
9026,15574743,1,1,1
4965,15574761,2,1,0
1892,15574783,2,1,1
5884,15574795,1,1,1
8476,15574830,2,1,0
2422,15574842,3,1,1
8503,15574858,2,1,1
4925,15574868,2,0,0
1726,15574879,2,0,1
2416,15574886,1,1,1
2674,15574910,1,1,0
1869,15574947,2,0,1
3123,15575002,1,1,0
668,15575024,2,1,1
6383,15575060,2,1,0
3318,15575119,2,1,1
7657,15575146,2,1,1
8413,15575147,1,1,0
79,15575185,1,0,1
2760,15575214,1,1,0
7115,15575243,2,1,1
3223,15575247,2,1,0
8819,15575391,2,1,1
6635,15575399,2,1,0
1657,15575409,1,1,0
1234,15575410,2,1,0
1332,15575417,2,1,1
5738,15575428,2,1,1
7530,15575430,1,1,1
7180,15575438,1,1,1
8557,15575445,1,0,0
9320,15575486,2,1,1
129,15575492,2,1,0
4795,15575498,2,1,0
5292,15575510,1,0,1
1147,15575581,2,1,0
7086,15575605,2,1,1
6868,15575619,1,1,1
6095,15575623,1,1,0
3982,15575676,2,0,1
6300,15575679,1,1,0
4064,15575691,2,0,1
2997,15575694,2,1,0
3901,15575748,2,0,1
5508,15575759,1,1,0
4872,15575858,2,1,0
836,15575883,2,1,0
4902,15575935,2,0,1
4416,15575955,2,1,0
6609,15576000,1,1,1
8717,15576022,2,0,1
2799,15576044,1,1,0
9120,15576065,1,1,1
8180,15576077,1,0,1
1809,15576085,2,0,0
3889,15576094,2,0,1
8048,15576111,1,1,0
8677,15576124,1,1,0
2743,15576126,1,1,1
7821,15576131,2,1,0
5110,15576156,1,1,0
1349,15576162,1,1,1
3670,15576185,2,1,1
6366,15576196,2,0,0
9222,15576216,1,1,0
3050,15576219,2,1,1
350,15576256,2,1,1
3396,15576263,1,1,0
245,15576269,2,1,0
6197,15576304,1,1,1
429,15576313,1,1,0
583,15576352,2,0,1
2826,15576360,1,1,1
671,15576368,2,0,0
1582,15576517,2,1,1
8034,15576526,2,0,1
4731,15576550,1,1,0
1314,15576602,2,1,1
9854,15576615,1,1,0
506,15576623,2,1,0
5231,15576641,2,1,1
1913,15576644,1,1,0
1595,15576676,2,1,1
7598,15576680,2,0,0
1336,15576683,1,1,0
6695,15576706,1,0,1
1578,15576714,2,1,1
2667,15576723,2,1,1
4688,15576745,2,0,1
2682,15576760,2,0,0
5639,15576774,2,0,0
2722,15576824,3,1,1
3405,15576928,1,1,0
6274,15576935,2,0,1
2306,15576945,1,1,0
8161,15576990,1,1,0
8614,15577018,1,0,0
2518,15577064,2,1,0
2057,15577078,1,1,1
8360,15577107,3,0,1
6988,15577170,2,0,1
2967,15577178,1,1,0
1508,15577274,1,1,0
6123,15577313,1,1,0
8201,15577359,1,1,0
7971,15577398,1,1,1
6111,15577402,2,0,1
6429,15577423,1,1,0
1040,15577478,1,1,1
3259,15577514,1,1,1
7145,15577515,1,0,1
4183,15577587,1,1,1
8630,15577598,2,1,0
21,15577657,2,1,1
5731,15577683,2,1,1
9884,15577695,1,1,0
3700,15577700,2,1,1
4279,15577751,1,0,0
7399,15577771,1,1,1
3277,15577806,1,1,1
3849,15577831,1,0,0
8747,15577905,2,0,1
9430,15577913,1,1,1
4325,15577970,1,0,0
4601,15577985,2,1,1
6806,15577988,2,1,1
3720,15577999,1,1,0
3034,15578006,2,1,1
407,15578045,1,0,0
5580,15578073,2,0,0
3797,15578096,1,0,0
9675,15578098,2,1,1
8031,15578141,1,1,1
8997,15578156,1,1,1
484,15578186,2,1,0
3754,15578211,2,1,1
5344,15578238,2,1,0
3374,15578251,2,1,0
2373,15578297,1,1,0
5876,15578307,2,1,1
3595,15578369,1,1,0
