Criteria,Client,15671256,15607275,15696852,15768367,15594391,15779182
Credit Score,15671256,1,1,3,5,6,5
Credit Score,15607275,1,1,3,5,6,5
Credit Score,15696852,0.333333333,0.333333333,1,2,3,4
Credit Score,15768367,0.2,0.2,0.5,1,2,3
Credit Score,15594391,0.166666667,0.166666667,0.333333333,0.5,1,2
Credit Score,15779182,0.2,0.2,0.25,0.333333333,0.5,1
Estimated Salary,15671256,1,9,7,2,3,4
Estimated Salary,15607275,0.111111111,1,0.5,0.142857143,0.166666667,0.2
Estimated Salary,15696852,0.142857143,2,1,0.142857143,0.166666667,0.2
Estimated Salary,15768367,0.5,7,6,1,2,4
Estimated Salary,15594391,0.333333333,6,6,0.5,1,3
Estimated Salary,15779182,0.25,5,5,0.25,0.333333333,1
Balance,15671256,1,2,4,5,5,6
Balance,15607275,0.5,1,3,4,4,5
Balance,15696852,0.25,0.333333333,1,3,2,2
Balance,15768367,0.2,0.25,0.333333333,1,2,2
Balance,15594391,0.2,0.25,0.5,0.5,1,2
Balance,15779182,0.166666667,0.2,0.5,0.5,0.5,1
Age,15671256,1,0.333333333,3,5,0.125,0.166666667
Age,15607275,3,1,4,5,0.142857143,0.2
Age,15696852,0.333333333,0.25,1,3,0.111111111,0.142857143
Age,15768367,0.2,0.2,0.333333333,1,0.111111111,0.125
Age,15594391,8,7,9,9,1,5
Age,15779182,6,5,7,8,0.2,1
Tenure,15671256,1,0.166666667,0.111111111,0.142857143,0.5,0.125
Tenure,15607275,6,1,0.333333333,0.5,5,0.333333333
Tenure,15696852,9,3,1,3,7,2
Tenure,15768367,7,2,0.333333333,1,5,0.5
Tenure,15594391,2,0.2,0.142857143,0.2,1,0.166666667
Tenure,15779182,8,3,0.5,2,6,1
